Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ALT0061 - STM32F407VGT6 bare breakout REV A.PrjPCB|ReportField=ProjectFullPath~D:\Dropbox\PROJECTS\GITHUB\Altium\ALT0061 - STM32F407VGT6 bare breakout REV A\ALT0061 - STM32F407VGT6 bare breakout REV A.PrjPCB|ReportField=Title~Bill of Materials For Project [ALT0061 - STM32F407VGT6 bare breakout REV A.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~189|ReportField=ReportTime~14:21:37|ReportField=ReportDate~6/04/2015|ReportField=ReportDateTime~6/04/2015 14:21:37|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Robbe Van Assche|ReportField=Address2~Belgium|ReportField=Address3~2015|ReportField=Address4~Project title|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~ALT0061|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~A|ReportField=Rule~|ReportField=SheetNumber~4|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~Sheetname|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~ALT0061 - STM32F407VGT6 bare breakout REV A.PrjPCB|ReportField=DataSourceFullPath~D:\Dropbox\PROJECTS\GITHUB\Altium\ALT0061 - STM32F407VGT6 bare breakout REV A\ALT0061 - STM32F407VGT6 bare breakout REV A.PrjPCB
1206 10u16V TANT||C1, C3, C17, C18|1206C+_TANTAL-10u16V|Passives_Capacitors_Tantalum_1206C-TANTAL SIZE A-10u16V|4
TBD|CAPACITOR 1210 CERAMIC VALUE TO BE DETERMINED|C2, C4, C5, C6, C16, C20, C31, C32, C36, C37|1210C-GENERIC|Passives_Capacitors_1210_1210C-TBD|10
1uF|CAPACITOR 0603 CERAMIC|C7, C8, C9, C10|0603C-GENERIC|Passives_Capacitors_0603_1UF-35V-X5R-TAY|4
7pF|CAPACITOR 0603 CERAMIC|C11, C12|0603C-GENERIC|Passives_Capacitors_0603_6N850V-X7R-MUR|2
22pF|CAPACITOR 0603 CERAMIC|C13, C14|0603C-GENERIC|Passives_Capacitors_0603_22PF-50V-C0G-PAN|2
2n2|CAPACITOR 0603 CERAMIC|C15|0603C-GENERIC|Passives_Capacitors_0603_2N2-50V-C0G-MUR|1
100nF|CAPACITOR 0603 CERAMIC|C19, C29, C30, C33, C34, C35|0603C-GENERIC|Passives_Capacitors_0603_100NF-25V-X7R-TDK|6
1uF|CAPACITOR 0402 CERAMIC|C21, C22, C23, C24, C25, C26, C27, C28|0402C-GENERIC|Passives_Capacitors_0402_1UF-10V-X5R-SAM|8
SSD1306_128x64_OLED|SSD1306 OLED 128x64|CN1|SSD1306_128x64_OLED|SSD1306_128x64_OLED|1
0805||D1, D2, D3, D4, D5, D6, D7, D8|0805LED|LED_SMD_0805|8
Connector_Production Connectors_SMD_BYPASS|SOLDERDOT BYPASS|J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29|BYPASS|Connector_Production Connectors_SMD_BYPASS|29
Connector_Power_SMD_5.5mm|5.5mm SMD|K1, K5|ADC-028|Connector_Power_SMD_5.5mm|2
Connector_Headers_SMD_M_2x1|SMD Header 2x1|K2, K4, K6, K9|Header_Male_2.54 2x1|Connector_Headers_SMD_M_2x1|4
